Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,127,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,10,11,12,1,arbol,semilla,C0,,,semilla,,12,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,128,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,10.5,10.5,1,arbol,semilla,C0,,,semilla,,10.5,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,129,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,6,6,11.3,1,arbol,rebrote,C0,,,rebrote,,11.3,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,130,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,11,12,12.4,1,arbol,semilla,C0,,,semilla,,12.4,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,131,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,12,10.9,1,arbol,semilla,C0,,,semilla,,10.9,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,132,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,11,8.9,1,arbol,semilla,C0,,,semilla,,8.9,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,133,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,11,12.2,1,arbol,semilla,C0,,,semilla,,12.2,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,134,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,11,8.3,1,arbol,semilla,C0,,,semilla,,8.3,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,135,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,11,11.2,1,arbol,semilla,C0,,,semilla,,11.2,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,136,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,11,11,8.9,2,arbol,rebrote,C0,,,rebrote,,8.9,5.6,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,154,lonrug,Lonchocarpus,rugosus,FABACEAE,Kanasin,,,0,0,no encontrado,no se encontro,C6,,,no se encontro,,,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,165,bauung,Bauhinia,ungulata,FABACEAE,Box ts'uru'tok,7.5,7.5,5.8,2,arbol,rebrote,C6,,,rebrote,,5.8,3,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,167,luespe,Luehea,speciosa,MALVACEAE,Kakaw ché,9,9,6.6,1,arbol,rebrote,C6,,,rebrote,,6.6,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,168,lonrug,Lonchocarpus,rugosus,FABACEAE,Kanasin,9,9,6.6,1,arbol,rebrote,C6,,,rebrote,,6.6,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,169,bauung,Bauhinia,ungulata,FABACEAE,Box ts'uru'tok,8,8,5.9,2,arbol,rebrote,C6,,,rebrote,,5.9,4.7,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,170,corpyr,Cornutia,pyramidata,LAMIACEAE,Lo'obché,,,0,0,muerto,muerto,C6,,,muerto,,,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,166,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,11,11,7.6,1,arbol,semilla,C7,,,semilla,,7.6,,,,,,,,,,,,
07A,10,C27,Lluvias 2015,26 DE SEPTIEMBRE DE 2015,164,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,10,10,7.8,1,arbol,semilla,C9,,,semilla,,7.8,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,1,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,5,5.5,8.5,1,arbol,semilla,C0,,,semilla,,8.5,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,2,cecpel,Cecropia,peltata,URTICACEAE,Guarumbo sp1,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,3,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,4,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,9,9.5,11.3,1,arbol,semilla,C0,,,semilla,,11.3,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,5,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,10,10,12.8,1,arbol,semilla,C0,,,semilla,,12.8,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,6,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,7,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,8,8.5,10,1,arbol,semilla,C0,,,semilla,,10,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,8,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,7,8,7.9,1,arbol,semilla,C0,,,semilla,,7.9,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,9,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,no encontrado,no se encontro,C0,,,no se encontro,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,10,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,11,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,6.5,7,9.9,1,arbol,semilla,C0,,,semilla,,9.9,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,12,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,8,9,8.6,1,arbol,semilla,C0,,,semilla,,8.6,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,13,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,14,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,Muerto en C6,C0,,,Muerto en C6,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,15,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,16,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,17,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,18,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,19,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,no encontrado,no se encontro,C0,,,no se encontro,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,20,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,21,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,arbol,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,22,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,23,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,Muerto en C6,C0,,,Muerto en C6,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,24,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,7,7.5,10.5,1,arbol,rebrote,C0,,,rebrote,,10.5,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,25,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,7,7.5,8.2,1,arbol,semilla,C0,,,semilla,,8.2,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,26,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,4.5,5,6.1,1,arbol,semilla,C0,,,semilla,,6.1,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,27,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,7,7.5,9.4,1,arbol,semilla,C0,,,semilla,,9.4,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,28,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,29,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,9.6,1,arbol,semilla,C0,,,semilla,,9.6,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,30,Box zobach,,,ASTERACEAE,Box zobach,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,31,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,32,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,33,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,34,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,no encontrado,no se encontro,C0,,,no se encontro,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,35,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,36,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,37,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,215,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7.5,8,8,1,arbol,semilla,C4,,,semilla,,8,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,229,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,6,6.5,6,1,arbol,semilla,C6,,,semilla,,6,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,230,alvamo,Alvaradoa,amorphoides,PRICRAMNIACEAE,Bel sinik ché,6.5,6.5,7.3,1,arbol,semilla,C9,,,semilla,,7.3,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,231,alvamo,Alvaradoa,amorphoides,PRICRAMNIACEAE,Bel sinik ché,7,7.5,7.7,1,arbol,semilla,C9,,,semilla,,7.7,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,256,alvamo,Alvaradoa,amorphoides,PRICRAMNIACEAE,Bel sinik ché,5,5.5,6.2,1,arbol,semilla,C18,,,semilla,,6.2,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,259,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,2.5,2.5,5.6,1,arbol,semilla,C21,,,semilla,,5.6,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,260,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6,6.5,6.2,1,arbol,semilla,C21,,,semilla,,6.2,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,275,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,4.5,6,7,1,arbol,semilla,,,,semilla,,7,,,,,,,,,,,,
10B,1,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,281,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,5,6,6.2,2,recluta,semilla,C27,,,semilla,,6.2,4.7,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,38,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,no encontrado,no se encontro,C0,,,no se encontro,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,39,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,40,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,41,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,42,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,43,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,44,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,45,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8.5,9.1,2,arbol,semilla,C0,,,semilla,,9.1,6.7,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,46,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,8,8,10.3,1,arbol,semilla,C0,,,semilla,,10.3,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,47,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,6,7.5,7,1,arbol,rebrote,C0,,,rebrote,,7,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,48,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,10,9.5,2,arbol,rebrote,C0,,,rebrote,,9.5,4.8,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,49,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,50,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,Muerto en C6,C0,,,Muerto en C6,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,51,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,52,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,53,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,54,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,55,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,56,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,57,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,Muerto ,C0,,,Muerto ,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,58,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,7.5,7.9,1,arbol,rebrote,C0,,,rebrote,,7.9,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,59,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,60,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,61,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,62,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,63,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,216,bauung,Bauhinia,ungulata,FABACEAE,Box ts'uru'tok,6,6.5,7.3,2,arbol,rebrote,C4,,,rebrote,,7.3,5.7,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,229,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8,9.3,1,arbol,semilla,C4,,,semilla,,9.3,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,230,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,5,5,6.2,1,arbol,semilla,C6,,,semilla,,6.2,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,231,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C12,,,muerto,,,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,257,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,4.5,4.5,6.4,2,arbol,rebrote,C18,,,rebrote,,6.4,5.3,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,261,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6,7.5,6.7,1,arbol,semilla,C21,,,semilla,,6.7,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,262,neoema,Neomillspaughia,emarginata,POLYGONACEAE,Sak its'a,4,5.5,6.5,1,arbol,rebrote,C21,,,rebrote,,6.5,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,263,senato,Senna,atomaria ,FABACEAE,Tu'ja'ché,6,6.5,6.7,1,arbol,semilla,C21,,,semilla,,6.7,,,,,,,,,,,,
10B,2,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,282,bauung,Bauhinia,ungulata,FABACEAE,Box ts'uru'tok,5,6.5,5.4,1,recluta,rebrote,C27,,,rebrote,,5.4,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,64,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,65,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,9,10,17.8,1,arbol,semilla,C0,,,semilla,,17.8,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,66,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,67,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,68,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,,,0,0,juvenil,baja de cat,C0,,,baja de cat,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,69,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,,,0,0,no encontrado,no se encontro,C0,,,no se encontro,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,70,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,71,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,72,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,juvenil,baja de cat,C0,,,baja de cat,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,73,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,74,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,Muerto en C6,C0,,,Muerto en C6,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,75,senato,Senna,atomaria ,FABACEAE,Tu'ja'ché,7,7.5,7.2,1,arbol,rebrote,C0,,,rebrote,,7.2,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,76,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,77,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,78,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,7,7,7,1,arbol,semilla,C0,,,semilla,,7,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,79,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,7.5,8.8,1,arbol,rebrote,C0,,,rebrote,,8.8,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,80,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,no encontrado,no se encontro,C0,,,no se encontro,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,81,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerto,C0,,,muerto,,,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,217,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,5,6,8.2,1,arbol,semilla,C4,,,semilla,,8.2,,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,218,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6,8,15.2,2,arbol,rebrote,C4,,,rebrote,,15.2,6.2,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,219,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,3.5,7,9.2,2,arbol,rebrote,C4,,,rebrote,,9.2,8.6,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,264,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,4,5.5,6.2,2,arbol,rebrote,C21,,,rebrote,,6.2,5.4,,,,,,,,,,,
10B,3,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,283,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,4,6,5.5,1,recluta,semilla,C27,,,semilla,,5.5,,,,,,,,,,,,
10B,4,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,82,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,,,0,0,muerto,muerti,C0,,,muerti,,,,,,,,,,,,,,
10B,4,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,83,helbar,Helicteres,baruensis,MALVACEAE,Sutup,,,0,0,muerto,Muerto,C0,,,Muerto,,,,,,,,,,,,,,
10B,4,C27,Lluvias 2015,6 DE OCTUBRE DE 2015,84,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,,,0,0,muerto,Muerto en C6,C0,,,Muerto en C6,,,,,,,,,,,,,,
