Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,129,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8,5.1,1,recluta,semilla,C15,,,semilla,,5.1,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,130,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8,5.1,1,recluta,semilla,C15,,,semilla,,5.1,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,8,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,9,12.2,1,arbol,semilla,C0,,,semilla,,12.2,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,9,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,8,9,9.1,3,arbol,rebrote,C0,,,rebrote,,9.1,8.8,6.7,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,10,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,7.5,7,2,arbol,rebrote,C0,,,rebrote,,6.9,7,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,36,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,8,8.5,8.3,1,arbol,semilla,C3,,,semilla,,8.3,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,37,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,8.5,13.6,1,arbol,semilla,C3,,,semilla,,13.6,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,38,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,6.5,7,8,4,arbol,rebrote,C3,,,rebrote,,8,8,7.4,5.2,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,57,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,8.5,6.7,1,arbol,semilla,C8,,,semilla,,6.7,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,62,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,6.5,7,6.5,1,arbol,semilla,C9,,,semilla,,6.5,,,,,,,,,,,,
